label,score,path,domain,record_id,split,window_idx,start,end,record_label,overlap_samples,overlap_fraction,pred
0,0.41823610663414,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00000.npy,target,tgt_test_anom_burst_0,test,0,0,2048,1,0,0.0,1
0,0.417772114276886,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00001.npy,target,tgt_test_anom_burst_0,test,1,512,2560,1,0,0.0,1
0,0.4169856905937195,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00002.npy,target,tgt_test_anom_burst_0,test,2,1024,3072,1,0,0.0,1
0,0.4154382348060608,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00003.npy,target,tgt_test_anom_burst_0,test,3,1536,3584,1,0,0.0,1
0,0.4165830314159393,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00004.npy,target,tgt_test_anom_burst_0,test,4,2048,4096,1,0,0.0,1
0,0.4170702993869781,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00005.npy,target,tgt_test_anom_burst_0,test,5,2560,4608,1,0,0.0,1
0,0.4182054102420807,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00006.npy,target,tgt_test_anom_burst_0,test,6,3072,5120,1,0,0.0,1
0,0.4182614982128143,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00007.npy,target,tgt_test_anom_burst_0,test,7,3584,5632,1,0,0.0,1
0,0.4171902239322662,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00008.npy,target,tgt_test_anom_burst_0,test,8,4096,6144,1,0,0.0,1
0,0.4127967655658722,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00009.npy,target,tgt_test_anom_burst_0,test,9,4608,6656,1,0,0.0,1
0,0.4100385308265686,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00010.npy,target,tgt_test_anom_burst_0,test,10,5120,7168,1,0,0.0,1
0,0.4094979763031006,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00011.npy,target,tgt_test_anom_burst_0,test,11,5632,7680,1,0,0.0,1
0,0.4103761911392212,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00012.npy,target,tgt_test_anom_burst_0,test,12,6144,8192,1,0,0.0,1
1,0.4153816401958465,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00013.npy,target,tgt_test_anom_burst_0,test,13,6656,8704,1,360,0.17578125,1
1,0.4164316952228546,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00014.npy,target,tgt_test_anom_burst_0,test,14,7168,9216,1,360,0.17578125,1
1,0.4174387156963348,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00015.npy,target,tgt_test_anom_burst_0,test,15,7680,9728,1,360,0.17578125,1
1,0.4177747070789337,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00016.npy,target,tgt_test_anom_burst_0,test,16,8192,10240,1,360,0.17578125,1
0,0.4173492193222046,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00017.npy,target,tgt_test_anom_burst_0,test,17,8704,10752,1,0,0.0,1
0,0.4180630147457123,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00018.npy,target,tgt_test_anom_burst_0,test,18,9216,11264,1,0,0.0,1
0,0.4175349473953247,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00019.npy,target,tgt_test_anom_burst_0,test,19,9728,11776,1,0,0.0,1
0,0.4160513877868652,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00000.npy,target,tgt_test_anom_spike_0,test,0,0,2048,1,0,0.0,1
0,0.4148780703544616,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00001.npy,target,tgt_test_anom_spike_0,test,1,512,2560,1,0,0.0,1
0,0.4140434861183166,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00002.npy,target,tgt_test_anom_spike_0,test,2,1024,3072,1,0,0.0,1
0,0.422459214925766,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00003.npy,target,tgt_test_anom_spike_0,test,3,1536,3584,1,84,0.041015625,1
1,0.4287772476673126,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00004.npy,target,tgt_test_anom_spike_0,test,4,2048,4096,1,220,0.107421875,1
1,0.4292111396789551,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00005.npy,target,tgt_test_anom_spike_0,test,5,2560,4608,1,220,0.107421875,1
1,0.4295547306537628,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00006.npy,target,tgt_test_anom_spike_0,test,6,3072,5120,1,220,0.107421875,1
1,0.4281558096408844,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00007.npy,target,tgt_test_anom_spike_0,test,7,3584,5632,1,136,0.06640625,1
0,0.416777491569519,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00008.npy,target,tgt_test_anom_spike_0,test,8,4096,6144,1,0,0.0,1
0,0.4119391739368438,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00009.npy,target,tgt_test_anom_spike_0,test,9,4608,6656,1,0,0.0,1
0,0.4079712629318237,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00010.npy,target,tgt_test_anom_spike_0,test,10,5120,7168,1,0,0.0,1
0,0.403026670217514,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00011.npy,target,tgt_test_anom_spike_0,test,11,5632,7680,1,0,0.0,1
0,0.4037940502166748,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00012.npy,target,tgt_test_anom_spike_0,test,12,6144,8192,1,0,0.0,1
0,0.4082716107368469,data/processed/windows/target/test/tgt_test_anom_spike_0_win_00013.npy,target,tgt_test_anom_spike_0,test,13,6656,8704,1,0,0.0,1
