label,score,path,domain,record_id,split,window_idx,start,end,record_label,overlap_samples,overlap_fraction,pred
0,0.4271588921546936,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00000.npy,target,tgt_test_anom_burst_0,test,0,0,2048,1,0,0.0,0
0,0.4267110526561737,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00001.npy,target,tgt_test_anom_burst_0,test,1,512,2560,1,0,0.0,0
0,0.4257568717002868,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00002.npy,target,tgt_test_anom_burst_0,test,2,1024,3072,1,0,0.0,0
0,0.420551598072052,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00003.npy,target,tgt_test_anom_burst_0,test,3,1536,3584,1,0,0.0,0
0,0.4221426248550415,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00004.npy,target,tgt_test_anom_burst_0,test,4,2048,4096,1,0,0.0,0
0,0.4246207177639007,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00005.npy,target,tgt_test_anom_burst_0,test,5,2560,4608,1,0,0.0,0
0,0.4295859038829803,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00006.npy,target,tgt_test_anom_burst_0,test,6,3072,5120,1,0,0.0,0
0,0.4306805729866028,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00007.npy,target,tgt_test_anom_burst_0,test,7,3584,5632,1,0,0.0,0
0,0.4295448362827301,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00008.npy,target,tgt_test_anom_burst_0,test,8,4096,6144,1,0,0.0,0
0,0.4212030470371246,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00009.npy,target,tgt_test_anom_burst_0,test,9,4608,6656,1,0,0.0,0
0,0.4081256985664367,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00010.npy,target,tgt_test_anom_burst_0,test,10,5120,7168,1,0,0.0,0
0,0.4010400176048279,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00011.npy,target,tgt_test_anom_burst_0,test,11,5632,7680,1,0,0.0,0
0,0.4011569321155548,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00012.npy,target,tgt_test_anom_burst_0,test,12,6144,8192,1,0,0.0,0
1,0.419639378786087,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00013.npy,target,tgt_test_anom_burst_0,test,13,6656,8704,1,360,0.17578125,0
1,0.4220291972160339,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00014.npy,target,tgt_test_anom_burst_0,test,14,7168,9216,1,360,0.17578125,0
1,0.424854576587677,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00015.npy,target,tgt_test_anom_burst_0,test,15,7680,9728,1,360,0.17578125,0
1,0.4275210499763489,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00016.npy,target,tgt_test_anom_burst_0,test,16,8192,10240,1,360,0.17578125,0
0,0.4227690100669861,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00017.npy,target,tgt_test_anom_burst_0,test,17,8704,10752,1,0,0.0,0
0,0.4273041784763336,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00018.npy,target,tgt_test_anom_burst_0,test,18,9216,11264,1,0,0.0,0
0,0.4270585179328918,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00019.npy,target,tgt_test_anom_burst_0,test,19,9728,11776,1,0,0.0,0
